label,text
address,"9636 Elm Crescent, Tokyo"
phone,+471 186 4212837
email,sales9944@service.org
phone,+91 6128260438
address,"Elm Crescent 9228
10001 Mumbai
Russia"
phone,697-6066944
url,http://sub.example.org:8080/
phone,+1 (767) 999-9295 ext. 1291
email,sales.team+filter@example.com
address,"PO Box 961, London, NSW, Italy - 01000-000"
address,"12 Sunset Rd, Mumbai, SP, 01000-000, Germany"
url,http://blog.mail.com:8443/search
address,"Pine Court 4921
28001 Berlin
Russia"
address,"3072, Pine Court, Behind Temple, London - 100000, TX, India"
url,http://xn--p1ai:443/a/b/c
phone,+32 734 1849263
email,admin3688@institute.edu
phone,618-8889720
email,firstname.lastname8085@example.com
phone,+55 630.794.5169
address,"Apt 567, 5461-Church Road, London 101000, USA"
address,"5393 Elm Way, Sydney"
address,"8093 Sunset St, London, NY 2000, Italy"
email,support942@startup.io
phone,814 620-8264
address,"5428 Queen Ave, Beijing, NY, 100000, USA"
url,http://dev.xn--p1ai:3000/download/file.zip#section-9
phone,352 821-0507
email,contact.a+promo@yahoo.com
url,http://service.io:8080/home
address,"747, King Court, Opposite Mall, Cape Town - 04524, SP, France"
email,user@secure.service.org
email,team+filter@yahoo.com
email,john1407.a@company.co
url,http://example.com/
phone,+1 8785836177
url,http://blog.sub.example.org:3000/search
email,info3354@service.org
url,https://app.sub.example.org:443/search?q=test#section-6
address,"257 Willow Ave, Madrid"
phone,+27 243.769.0519
address,"Unit 32, 3732 Cedar Lane, Paris, Sweden 2000"
phone,+27 861.462.2028
url,http://mysite.co:8443
email,admin+work@example.com
address,"Unit 41, 2324 Elm Lane, Madrid, India SW1A 1AA"
phone,119-9473679
url,http://api.sub.example.org:443/items/abc-123?q=x&utm=1
url,http://sub.example.org:3000/users/123?q=search&utm=1#section-7
url,https://dev.example.com/download/file.zip?q=test&utm=1
email,firstname.lastname+promo@service.org
email,admin632@gmail.com
url,http://mail.com:8443/items/abc-123
address,"PO Box 753, Tokyo, Île-de-France, USA - 28001"
email,user.b@secure.startup.io
address,"6633-Church Terrace, Moscow 400001, China"
address,"944, Church Lane, Near Market, São Paulo - 01000-000, Moscow Oblast, Brazil"
phone,-1641626
email,first_last1745@mail.co.uk
phone,+7 236.774.6271
url,https://mysite.co:3000/download/file.zip?q=test&utm=1
email,support4806@gmail.com
address,"6306 Queen Street, Rome, Maharashtra, 2000, France"
address,"8575, Maple Street, Beside School, Mumbai - 400001, Lazio, USA"
url,http://xn--p1ai:8080/search?q=test
url,http://example.com:443/a/b/c?q=test&utm=1
address,"PO Box 8603, Paris, Tokyo, China - 111 22"
address,"266 Oak Rd, Sydney, Gauteng 8001, Spain"
address,"Unit 943, APO AE 41713"
url,http://dev.xn--p1ai:80/download/file.zip#section-2
url,http://mail.com:8443/search
address,"Unit 142, APO AE 60784"
address,"5099 Hill Street, Rome"
email,contact3483.team@hotmail.com
url,https://app.service.io:443/search?q=test
address,"75001 Moscow, Birch Court 1454, France"
address,"Unit 8, 1487 Hill Crescent, Mumbai, Japan 10001"
email,info1738+filter@gmail.com
address,"3960 Hill St, Sydney, NSW 80331, Russia"
address,"5288, Lake Lane, Beside School, New York - 400001, Bavaria, Sweden"
address,"2623-Church Terrace, Paris 8001, Germany"
email,john+promo@yahoo.com
